p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
SCZ	ASD	0.2149	0.0465	4.6261	3.7269e-06	0.1976	0.0173	1.0051	0.0102	0.0162	0.0091
SCZ	BIP	0.689	0.0208	33.0605	1.0990e-239	0.3472	0.0176	1.0207	0.0101	0.2327	0.0085
SCZ	CDG	0.9353	0.0255	36.7173	3.8669e-295	0.1715	0.0131	1.0142	0.0117	0.2985	0.0106
SCZ	DHA	-0.0893	0.03	-2.9805	0.0029	0.11	0.012	1.0682	0.0474	0.0178	0.0073
SCZ	DHA_pct	-0.1235	0.0298	-4.1433	3.4234e-05	0.1218	0.0106	1.0346	0.035	0.0213	0.0078
SCZ	LA	0.0234	0.0289	0.812	0.4168	0.1285	0.0241	1.0129	0.0283	0.0007	0.0073
SCZ	LA_pct	-0.0624	0.0273	-2.2852	0.0223	0.1267	0.0119	1.0331	0.0237	0.0068	0.0068
SCZ	MDD	0.3664	0.026	14.0847	4.7157e-45	0.0288	0.0018	0.9922	0.0095	0.0601	0.0072
SCZ	MUFA	0.0717	0.0272	2.6338	0.0084	0.184	0.029	0.9983	0.023	-0.0092	0.0076
SCZ	MUFA_pct	0.0808	0.0269	3.0067	0.0026	0.2193	0.0282	1.0224	0.0278	-0.0168	0.0078
SCZ	OCD	0.3279	0.0582	5.6357	1.7431e-08	0.3376	0.0516	0.9887	0.0078	0.0334	0.0074
SCZ	Omega_3	-0.0333	0.03	-1.1105	0.2668	0.1181	0.0206	1.0674	0.0563	0.0148	0.0074
SCZ	Omega_3_pct	-0.0877	0.0336	-2.6101	0.0091	0.0929	0.0151	1.0744	0.0657	0.0209	0.0076
SCZ	Omega_6_by_Omega_3	0.0574	0.0337	1.7052	0.0882	0.0917	0.0151	1.0706	0.0596	-0.0174	0.0075
SCZ	Omega_6	0.0277	0.0281	0.9865	0.3239	0.129	0.0251	1.0202	0.0307	-0.0003	0.0072
SCZ	Omega_6_pct	-0.0763	0.0275	-2.7782	0.0055	0.1511	0.0196	1.0169	0.0192	0.0069	0.0071
SCZ	PTSD	0.1841	0.1215	1.5154	0.1297	0.0277	0.0194	1.0097	0.0066	0.0144	0.0058
SCZ	PUFA_by_MUFA	-0.0884	0.0265	-3.3368	0.0008	0.2029	0.024	1.0194	0.0228	0.0173	0.0077
SCZ	PUFA	0.0152	0.0264	0.5787	0.5628	0.1473	0.0283	1.0252	0.0334	0.0035	0.0071
SCZ	PUFA_pct	-0.0979	0.0268	-3.6567	0.0003	0.1683	0.0199	1.0115	0.0151	0.0161	0.0074
SCZ	SCZ	1.0	1.7512e-07	5.7103e+06	0.0	0.4719	0.0191	1.0383	0.0122	1.0383	0.0122
SCZ	TS	0.0731	0.0415	1.7596	0.0785	0.3906	0.0442	1.0127	0.0077	0.0201	0.007
TS	ADHD	0.208	0.0545	3.8165	0.0001	0.2401	0.0159	1.0283	0.0108	0.0147	0.0065
TS	AN	0.0064	0.0979	0.0658	0.9475	0.2407	0.0363	1.009	0.008	0.0074	0.0058
TS	ANX	0.1478	0.1382	1.0693	0.2849	0.0621	0.0231	1.0007	0.0072	0.0021	0.0054
TS	ASD	0.129	0.0609	2.1186	0.0341	0.197	0.0166	1.0057	0.0098	0.0057	0.0058
TS	BIP	0.0705	0.0508	1.3885	0.165	0.3467	0.0177	1.0212	0.0103	0.0549	0.0062
TS	CDG	0.2055	0.0677	3.0338	0.0024	0.1705	0.0133	1.0152	0.0117	-0.0128	0.0075
TS	DHA	-0.0004	0.0524	-0.0081	0.9936	0.1092	0.0124	1.0706	0.045	0.0053	0.005
TS	DHA_pct	0.0499	0.0545	0.9157	0.3598	0.1219	0.0109	1.0346	0.0325	-0.0003	0.0052
TS	LA	-0.088	0.0535	-1.6442	0.1001	0.1205	0.0254	1.0323	0.0344	0.0091	0.0048
TS	LA_pct	-0.0078	0.0527	-0.1487	0.8818	0.1201	0.0137	1.0489	0.0275	-0.0016	0.0053
TS	MDD	0.2024	0.056	3.6163	0.0003	0.0286	0.0018	0.9937	0.0093	0.0196	0.0057
TS	MUFA	-0.0584	0.0455	-1.2823	0.1997	0.1809	0.0291	1.0068	0.023	0.0085	0.0047
TS	MUFA_pct	-0.0199	0.0427	-0.4666	0.6408	0.2127	0.0296	1.0376	0.0291	0.0018	0.0052
TS	OCD	0.4175	0.0929	4.4944	6.9763e-06	0.3368	0.0501	0.9895	0.0074	0.0995	0.0055
TS	Omega_3	0.0034	0.0528	0.0635	0.9493	0.1179	0.0207	1.0712	0.0538	0.0063	0.0053
TS	Omega_3_pct	0.0599	0.0621	0.9636	0.3353	0.0942	0.0165	1.0746	0.0623	0.001	0.0056
TS	Omega_6_by_Omega_3	-0.048	0.0614	-0.7808	0.4349	0.092	0.0161	1.0732	0.0568	-0.0024	0.0055
TS	Omega_6	-0.1037	0.0537	-1.9325	0.0533	0.121	0.0266	1.0401	0.0375	0.0108	0.0047
TS	Omega_6_pct	0.0159	0.049	0.3242	0.7458	0.1462	0.0204	1.03	0.0236	-0.0059	0.0051
TS	PTSD	-0.1807	0.1973	-0.916	0.3597	0.0256	0.0178	1.0108	0.0063	0.0138	0.0045
TS	PUFA_by_MUFA	0.027	0.0441	0.6115	0.5408	0.1975	0.0248	1.0321	0.0247	-0.0033	0.0052
TS	PUFA	-0.0857	0.0485	-1.7677	0.0771	0.1399	0.029	1.0432	0.0371	0.0113	0.0047
TS	PUFA_pct	0.0388	0.0467	0.8291	0.4071	0.1643	0.0195	1.0216	0.0175	-0.0054	0.005
TS	SCZ	0.0731	0.0415	1.7596	0.0785	0.4735	0.0196	1.0368	0.0129	0.0201	0.007
TS	TS	1.0	1.5712e-08	6.3645e+07	0.0	0.3894	0.045	1.0138	0.008	1.0138	0.008
